molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure,Molecule,MACCS,Morgan,Tanimoto_MACCS,Tanimoto_Morgan,Dice_MACCS,Dice_Morgan
CHEMBL4090686,IC50,nM,7.0,IC50,nM,7.0,CCC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1CF0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C2E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7C10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9510>,0.525,0.09734513274336283,0.6885245901639344,0.1774193548387097
CHEMBL4105329,IC50,nM,3.1,IC50,nM,3.1,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,8.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1E40>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7C80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9580>,0.527027027027027,0.102803738317757,0.6902654867256637,0.1864406779661017
CHEMBL4067871,IC50,nM,4.2,IC50,nM,4.2,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,8.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1EB0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C3C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7CF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F95F0>,0.5441176470588235,0.0970873786407767,0.7047619047619048,0.17699115044247787
CHEMBL4062877,IC50,nM,4.7,IC50,nM,4.7,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(F)ccc3O)cc12,8.327902142064282,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1F20>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7D60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9660>,0.5066666666666667,0.08333333333333333,0.672566371681416,0.15384615384615385
CHEMBL4075917,IC50,nM,8.1,IC50,nM,8.1,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,8.09151498112135,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA1F90>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C4A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7DD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F96D0>,0.5066666666666667,0.08411214953271028,0.672566371681416,0.15517241379310345
CHEMBL4083815,IC50,nM,7230.0,IC50,uM,7.23,O=c1c2ccccc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2Cl)s1,5.140861702705469,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA22E0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7E40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9740>,0.49333333333333335,0.08695652173913043,0.6607142857142857,0.16
CHEMBL4077349,IC50,nM,780.0,IC50,uM,0.78,O=C(Nn1c(-c2ccccc2)nc2ccccc2c1=O)c1ccc(Br)cc1,6.107905397309519,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA2350>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7EB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F97B0>,0.4931506849315068,0.05434782608695652,0.6605504587155964,0.10309278350515463
CHEMBL4072392,IC50,nM,720.0,IC50,uM,0.72,CC(=O)c1ccccc1-n1c(-c2ccccc2)nc2cc(Cl)ccc2c1=O,6.142667503568732,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA23C0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C5F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7F20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9820>,0.5909090909090909,0.08602150537634409,0.7428571428571429,0.15841584158415842
CHEMBL4083467,IC50,nM,12120.0,IC50,uM,12.12,Cc1nnc(-n2c(-c3ccccc3)nc3cc(Cl)ccc3c2=O)s1,4.916497380169733,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA2430>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A7F90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9890>,0.5066666666666667,0.08695652173913043,0.672566371681416,0.16
CHEMBL4060821,IC50,nM,1120.0,IC50,uM,1.12,O=c1c2ccc(Cl)cc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2)s1,5.950781977329818,<rdkit.Chem.rdchem.Mol object at 0x000001D689CA24A0>,False,False,<rdkit.Chem.rdchem.Mol object at 0x000001D69665C6D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966A8040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001D6966F9900>,0.49333333333333335,0.08695652173913043,0.6607142857142857,0.16
