molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1928889,IC50,nM,4410.0,IC50,uM,4.41,Clc1ccc(CNc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)cc1,5.355561410532162
CHEMBL1928890,IC50,nM,5670.0,IC50,uM,5.67,Clc1cccc(Nc2ncnc3ccc(NCc4ccc(Br)cc4)cc23)c1,5.246416941107094
CHEMBL1928291,IC50,nM,5.54,IC50,nM,5.54,O=C(c1cc2ccccc2[nH]1)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.25649023527157
CHEMBL1928293,IC50,nM,18.7,IC50,nM,18.7,C#Cc1cccc(Nc2ncnc3sc(C(=O)c4cc5ccccc5[nH]4)cc23)c1,7.728158393463501
CHEMBL1928301,IC50,nM,18.5,IC50,nM,18.5,O=C(c1cc2ccccc2[nH]1)c1cc2c(Nc3ccc(OCc4cccc(F)c4)cc3Cl)ncnc2s1,7.732828271596986
CHEMBL1928310,IC50,nM,43.7,IC50,nM,43.7,O=C(c1cc2ccccc2[nH]1)c1cc2c(Nc3ccc(F)cc3)ncnc2s1,7.359518563029578
CHEMBL1928312,IC50,nM,5.93,IC50,nM,5.93,COc1ccc2[nH]c(C(=O)c3cc4c(Nc5ccc(F)c(Cl)c5)ncnc4s3)cc2c1,8.226945306635738
CHEMBL1928315,IC50,nM,10.8,IC50,nM,10.8,O=C(c1cc2ccccc2s1)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,7.966576244513051
CHEMBL1934621,IC50,nM,650.0,IC50,uM,0.65,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccccc1,6.187086643357144
CHEMBL1934622,IC50,nM,22.0,IC50,uM,0.022,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CNCCS(C)(=O)=O)cc1,7.657577319177793
CHEMBL1934623,IC50,nM,3.0,IC50,uM,0.003,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CNC(C)C)cc1,8.522878745280337
CHEMBL1934624,IC50,nM,9.0,IC50,uM,0.009,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)cc1,8.045757490560675
CHEMBL1934625,IC50,nM,7.0,IC50,uM,0.007,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN(C)C)cc1,8.154901959985743
CHEMBL1934626,IC50,nM,190.0,IC50,uM,0.19,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)c(F)c1,6.721246399047171
CHEMBL1934627,IC50,nM,79.0,IC50,uM,0.079,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)o1,7.102372908709558
CHEMBL1934628,IC50,nM,30.0,IC50,uM,0.03,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)s1,7.522878745280337
CHEMBL1934629,IC50,nM,74.0,IC50,uM,0.074,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ncc(CN2CCCC2)s1,7.130768280269024
CHEMBL1933083,IC50,nM,55.0,IC50,uM,0.055,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1cccc(CN(C)C)c1,7.259637310505756
CHEMBL1934630,IC50,nM,86.0,IC50,uM,0.086,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCOc1ccc(CNC(C)C)cc1,7.0655015487564325
CHEMBL1934631,IC50,nM,94.0,IC50,uM,0.094,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)cc1,7.026872146400302
CHEMBL1934632,IC50,nM,24.0,IC50,uM,0.024,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNC(C)C)cc1,7.619788758288394
