molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL5173517,IC50,nM,0.1,IC50,nM,0.1,CC(C)c1cnc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,10.0,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F2E0>,False,False
CHEMBL5200991,IC50,nM,0.2,IC50,nM,0.2,CC(C)c1cnc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F350>,False,False
CHEMBL5206444,IC50,nM,0.2,IC50,nM,0.2,CC(C)c1ccc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F3C0>,False,False
CHEMBL5196495,IC50,nM,0.3,IC50,nM,0.3,CC(C)c1ccc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,9.522878745280336,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F430>,False,False
CHEMBL5194722,IC50,nM,0.5,IC50,nM,0.5,CC[C@]1(F)CN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)CC[C@H]1O,9.30102999566398,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F4A0>,False,False
CHEMBL5208737,IC50,nM,0.4,IC50,nM,0.4,CC(C)c1ccc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@](C)(O)[C@@H](F)C4)n3)cc12,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F510>,False,False
CHEMBL5095169,IC50,nM,0.4,IC50,nM,0.4,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F580>,False,False
CHEMBL5193016,IC50,nM,0.7,IC50,nM,0.7,CO[C@@H]1[C@H](O)CN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)CC1(F)F,9.154901959985745,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F5F0>,False,False
CHEMBL5189778,IC50,nM,10000.0,IC50,nM,10000.0,CC(C)c1cnc(N2CCCC2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,5.0,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F660>,False,False
CHEMBL5169349,IC50,nM,3401.0,IC50,nM,3401.0,CC(C)c1cnc(N2CC(C#N)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12,5.468393368067278,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F6D0>,False,False
CHEMBL5195321,IC50,nM,53.0,IC50,nM,53.0,CC(C)(C)n1cc(-c2cncc3ccccc23)c2c(N)ncnc21,7.275724130399211,<rdkit.Chem.rdchem.Mol object at 0x000001D69564F820>,False,False
CHEMBL5169450,IC50,nM,0.16,IC50,nM,0.16,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,9.795880017344077,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FB30>,False,False
CHEMBL5174418,IC50,nM,0.26,IC50,nM,0.26,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,9.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FBA0>,False,False
CHEMBL5190204,IC50,nM,4.0,IC50,nM,4.0,CCC1CCN(c2ccc(-c3cc(F)c4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3ncn5c3CCC5)C4)cc2)CC1,8.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FC10>,False,False
CHEMBL5180830,IC50,nM,52.0,IC50,nM,52.0,O=C1c2cc(F)ccc2Nc2ccccc2N1Cc1ccccc1,7.2839966563652,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FC80>,False,False
CHEMBL5195167,IC50,nM,48.2,IC50,nM,48.2,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3[C@H]3CC[C@H](O)CC3)ccn2)cn1,7.31695296176115,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FDD0>,False,False
CHEMBL5202381,IC50,nM,287.0,IC50,nM,287.0,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,6.542118103266008,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FE40>,False,False
CHEMBL5172794,IC50,nM,430.0,IC50,nM,430.0,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,6.366531544420414,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FEB0>,False,False
CHEMBL5187838,IC50,nM,260.0,IC50,nM,260.0,COc1cc(N2CCC(N3CCN(CCO)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,6.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FF20>,False,False
CHEMBL5176129,IC50,nM,2.8,IC50,nM,2.8,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(N)(=O)=O)n1,8.55284196865778,<rdkit.Chem.rdchem.Mol object at 0x000001D69564FF90>,False,False
CHEMBL5193027,IC50,nM,15.0,IC50,nM,15.0,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccc(-c3ccc4[nH]ccc4c3)cc2C1=O,7.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000001D6956500B0>,False,False
CHEMBL5179288,IC50,nM,1200.0,IC50,uM,1.2,N#Cc1ccc(O)c(-c2nc(NCc3ncccn3)c3ccccc3n2)c1,5.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000001D695650120>,False,False
CHEMBL3989868,IC50,nM,449.0,IC50,nM,449.0,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,6.347753658996677,<rdkit.Chem.rdchem.Mol object at 0x000001D695650190>,False,False
CHEMBL5182553,IC50,nM,0.2,IC50,nM,0.2,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4)cc2)CC1,9.69897000433602,<rdkit.Chem.rdchem.Mol object at 0x000001D695650580>,False,False
CHEMBL5177306,IC50,nM,0.9,IC50,nM,0.9,CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3ccccc3)C4)cc2)CC1,9.045757490560677,<rdkit.Chem.rdchem.Mol object at 0x000001D6956505F0>,False,False
CHEMBL5198812,IC50,nM,0.9,IC50,nM,0.9,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3ccccc3)C4)cc2)CC1,9.045757490560677,<rdkit.Chem.rdchem.Mol object at 0x000001D695650660>,False,False
CHEMBL5176460,IC50,nM,1.8,IC50,nM,1.8,CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4)cc2)CC1,8.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x000001D6956506D0>,False,False
CHEMBL5202129,IC50,nM,1.1,IC50,nM,1.1,CN1CCN(c2ccc(-c3ccc4c(c3)CCN(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4=O)cc2)CC1,8.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x000001D695650740>,False,False
CHEMBL5200637,IC50,nM,2.2,IC50,nM,2.2,CN1CCC(c2ccc(-c3ccc4c(c3)CCN(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4=O)cc2)CC1,8.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x000001D6956507B0>,False,False
CHEMBL5187605,IC50,nM,6.8,IC50,nM,6.8,CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)CC4)cc2)CC1,8.167491087293763,<rdkit.Chem.rdchem.Mol object at 0x000001D695650820>,False,False
CHEMBL5195912,IC50,nM,3.2,IC50,nM,3.2,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)CC4)cc2)CC1,8.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x000001D695650890>,False,False
CHEMBL5178865,IC50,nM,3.4,IC50,nM,3.4,CN1CCN(c2ccc(-c3ccc4c(=O)n(C(C(=O)Nc5nccs5)c5ccccc5)ccc4c3)cc2)CC1,8.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x000001D695650900>,False,False
CHEMBL5197154,IC50,nM,1.2,IC50,nM,1.2,CN1CCC(c2ccc(-c3ccc4c(=O)n(C(C(=O)Nc5nccs5)c5ccccc5)ccc4c3)cc2)CC1,8.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000001D695650970>,False,False
CHEMBL5208065,IC50,nM,5.0,IC50,nM,5.0,CN1CCN(c2ccc(-c3ccc4ccn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000001D6956509E0>,False,False
